"artist_name";"artist_id";"popularity";"explicit";"num_songs";"album_id";"album_name";"release_date"
"TWICE";"7n2Ycct7Beij7Dj7meI4X0";66;"0";7;"0o1uFxZ1VTviqvNaYkTJek";"The Freewheelin' Bob Dylan";"1963-05-27 00:00:00"
"JAY-Z";"3nFkdlSjzX9mRTtwJOzDYB";59;"1";1;"7GoZNNb7Yl74fpk8Z6I2cv";"4:44";"2017-07-07 00:00:00"
"The Pogues";"2wzMOQwNT6ZvVB4amvhFAH";86;"0";4;"4V92Puney9WxGPecKtLG4L";"If I Should Fall From Grace With God (Expande";"1988-09-05 00:00:00"
"Mac Miller";"4LLpKhyESsyAXpc4laK94U";73;"0";1;"5wtE5aLX5r7jOosmPhJhhk";"Swimming";"2018-08-03 00:00:00"
"Tiësto";"2o5jDhtHVPhrJdv3cEQ99Z";83;"0";1;"2T0NPRcdhIt71ifDWm328R";"God Is A Dancer (with Mabel)";"2019-09-20 00:00:00"
"Passenger";"0gadJ2b9A4SKsB1RFkBb66";54;"0";1;"0yWveEIgWbV3oPq4ZA6BAj";"All the Little Lights (Deluxe Version)";"2013-02-17 00:00:00"
"Tom Petty";"2UZMlIwnkgAEDBsw1Rejkn";65;"0";2;"3ZGUBwDiY5HPOcWv4SBPQg";"Wildflowers";"1994-10-21 00:00:00"
"Nat King Cole";"7v4imS0moSyGdXyLgVTIV7";64;"0";2;"2whKuzNvFl6OnkiOvN1vA0";"Christmas Music 100 Hits";"2015-10-28 00:00:00"
"Blueface";"3Fl1V19tmjt57oBdxXKAjJ";72;"1";7;"0RK6vpJWuCZpNWNdRJ8rpY";"LoVE me NOw (ReLoAdeD)";"2018-10-26 00:00:00"
"DVBBS";"5X4LWwbUFNzPkEas04uU82";53;"0";1;"11bkt0bAaSycDHNd4OYH3R";"Tsunami (Original Mix)";"2013-10-17 00:00:00"
"Fall Out Boy";"4UXqAaa6dQYAk18Lv7PEgX";69;"0";2;"0EVJX4RlYKuApsAN5CaDa3";"Save Rock And Roll";"2013-01-01 00:00:00"
"Anitta";"7FNnA9vBm6EKceENgCGRMb";78;"1";1;"2yN1kxrx1Z1CHO5VMdO2Yk";"R.I.P. (feat. Rita Ora & Anitta)";"2019-03-15 00:00:00"
"Perry Como";"5v8jlSmAQfrkTjAlpUfWtu";54;"0";6;"3Up1le0LPCpXc1Lisoln7f";"I Wish It Could Be Christmas Forever";"1982-09-12 00:00:00"
"SCH";"2kXKa3aAFngGz2P4GjG5w2";75;"1";10;"14p5CVdJCMRcgvICDAGS7k";"Destin";"2019-03-22 00:00:00"
"Big Sean";"0c173mlxpT3dSFRgMO8XPh";78;"1";8;"0tQ7Iu6EicQTPyhYRNWjaT";"Still Striving";"2017-08-18 00:00:00"
"MC MM";"3a5ydeAaojKa3CHWe5PVWK";44;"0";1;"5HCweeqM43ecUcUFe9P6qO";"Pra te Esquecer";"2017-12-22 00:00:00"
"Big Shaq";"7mnAzEmgquhrVtGob81SmO";52;"1";1;"1lAJxksjoCL6pIPg5sX312";"Buss It Down";"2019-10-04 00:00:00"
"Flume";"6nxWCVXbOlEVRexSbLsTer";67;"1";1;"4XpTyLPAuao2zSsN6WGR94";"Glad He's Gone";"2019-05-31 00:00:00"
"The Police";"5NGO30tJxFlKixkPSgXcFE";68;"0";2;"0CTCk1eshEadFqZ4NBfe9N";"Stranger Things (Soundtrack from the Netflix ";"2017-10-27 00:00:00"
"Ellie Goulding";"0X2BH1fck6amBIoJhDVmmJ";72;"0";1;"1BhppSJet8I7mHzvacPpZD";"Flux";"2019-03-01 00:00:00"
"RIN";"18ISxWwWjV6rPLoVCXf1dz";70;"1";1;"2BrHCT0Kr9iTtenBGa93XL";"Mary";"2019-03-29 00:00:00"
"Lil Dicky";"1tqhsYv8yBBdwANFNzHtcr";76;"1";1;"4reDPMFxu6L4vWURQ8QYG1";"Earth";"2019-04-18 00:00:00"
"J Balvin";"1vyhD5VmyZ7KMfW5gqLgo5";77;"0";1;"6ylFfzx32ICw4L1A7YWNLN";"OASIS";"2019-06-28 00:00:00"
"Gabrielle Aplin";"3w6zswp5THsSKYLICUbDTZ";65;"0";1;"3unvtEoEI6Ga2FMKotI20p";"Perfect Strangers";"2016-06-03 00:00:00"
"Young Thug";"50co4Is1HCEo8bhOyUWKpn";74;"0";1;"3U1X1wd3lX7EteWYhS2hpT";"Home (with Machine Gun Kelly, X Ambassadors &";"2017-11-18 00:00:00"
"Matt Terry";"2JLqTvFXmC87BksiCsBezV";39;"0";4;"3D9FEUSPR1zGcE8AI3y2TM";"Trouble";"2017-11-24 00:00:00"
"Farid Bang";"2JwyRtuXf2l6sTnSnGVIa1";58;"1";1;"0zWq0ZCdaXWW1atk95RFJ9";"Maghreb Gang (feat. French Montana, Khaled & ";"2019-06-28 00:00:00"
"Bebe Rexha";"64M6ah0SkkRsnPGtGiRAbb";79;"0";1;"16H9XbDP9IxeyOohsXkKXb";"Snacks";"2019-07-12 00:00:00"
"Iggy Azalea";"5yG7ZAZafVaAlMTeBybKAL";74;"1";3;"4jzYKkhMfaEFxDRevZqDdK";"Survive The Summer";"2018-08-03 00:00:00"
"JAY-Z";"3nFkdlSjzX9mRTtwJOzDYB";65;"1";5;"7GoZNNb7Yl74fpk8Z6I2cv";"4:44";"2017-07-07 00:00:00"
"KSI";"1nzgtKYFckznkcVMR3Gg4z";62;"1";1;"6EgNcbGSX2fh1LOQwtIYYM";"Uncontrollable (feat. Big Zuu)";"2018-02-02 00:00:00"
"Marc E. Bassy";"3tQx1LPXbsYjE9VwN1Peaa";64;"0";3;"2a8IWtMGQl8oIA3lUtLDQw";"Groovy People";"2016-08-05 00:00:00"
"YNW Melly";"1cNDP5yjU5vjeR8qMf4grg";72;"1";1;"1Qs0qbWADzRVQ7MxD5MvZe";"Satish";"2019-09-20 00:00:00"
"Portugal. The Man";"4kI8Ie27vjvonwaB2ePh8T";54;"1";11;"622gmiTAUET3WtAZq8aXtS";"Vacation In Hell";"2018-04-06 00:00:00"
"Gabriel Rios";"0pF1TxZmwCJ3gGpkBQwdtT";60;"0";1;"4CF8E08Io7oBNMqK9wchQa";"Wildest Dream";"2019-03-15 00:00:00"
"Lukas Graham";"25u4wHJWxCA9vO0CzxAbK7";53;"0";8;"4rFrdkSWs0dtj0rWPzOk1v";"Lukas Graham";"2016-04-01 00:00:00"
