,0,1,2
0,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,"['baton rouge rap', 'trap']"
1,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']"
2,Anuel AA,2R21vXR83lH98kGeO99Y66,"['latin', 'reggaeton flow', 'trap latino']"
3,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,"['melodic rap', 'pop rap', 'rap']"
4,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
5,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['alternative r&b', 'pop', 'r&b', 'urban contemporary']"
6,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,"['contemporary country', 'country', 'country road']"
7,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'shiver pop']"
8,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'pop']"
9,Aminé,3Gm5F95VdRxW3mqCn8RPBJ,"['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
10,AJR,6s22t5Y3prQHyaHWUN1R1C,['modern rock']
11,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
12,Anthony Ramos,660YptcR0hNHJ8iEr1qcse,['hollywood']
13,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,"['dance pop', 'pop']"
14,AC/DC,711MCceyCBcFnzjGY4Q7Un,"['australian rock', 'hard rock', 'rock']"
15,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,['puerto rican pop']
16,Akon,0z4gvV4rjIZ9wHck67ucSV,['dance pop']
17,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,['escape room']
18,Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'uk pop']"
19,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
20,James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
21,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,['corridos tumbados']
22,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,['pop']
23,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
24,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
25,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,"['pop rap', 'rap', 'rhode island rap']"
26,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,['reggae']
27,Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['big room', 'dance pop', 'edm', 'pop']"
28,Lauren Alaina,1v3tdpIdBSW14rHUfiEVOv,"['contemporary country', 'country', 'country dawn', 'country road']"
29,Alan Jackson,4mxWe1mtYIYfP040G38yvS,"['contemporary country', 'country', 'country road']"
30,Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,"['contemporary country', 'country', 'country road']"
31,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['electro house']
