"id";"name";"popularity_score";"num_of_followers"
"00FQb4jTyendYWaN8pK0wa";"Lana Del Rey";89;9617149
"00me4Ke1LsvMxt5kydlMyU";"Cosculluela";78;2827020
"00XhexlJEXQstHimpZN910";"Brytiago";85;2044398
"02A3cEvlLLCbIMVDrK2GHV";"Starley";67;77297
"02kJSzxNuaWGqwubyUba0Z";"G-Eazy";87;4219619
"04gDigrS5kc9YWfZHwBETP";"Maroon 5";94;21466553
"05fG473iIaoy82BF1aGhL8";"Slipknot";83;5291096
"05o1zW8b6PV6rEquXr74sB";"State of Sound";54;31810
"06HL4z0CvFAxyc27GXpf02";"Taylor Swift";95;25472272
"06nvjg4wBANK6DCHjqtPNd";"Mahmood";75;428247
"07YUOmWljBTXwIseAUd9TW";"Sebastian Yatra";89;9868737
"07YZf4WDAMNwqr4jfgOZ8y";"Jason Derulo";84;7269796
"0A0FS04o6zMoto8OKPsDwY";"YG";86;2002315
"0AJUYWKztkg5dnrHDIBv47";"MiC LOWRY";47;41737
"0b1sIQumIAsNbqAoIClSpy";"j-hope";70;2487908
"0b2GL7Y02vu50qieoQmw1w";"IAmChino";61;32170
"0bdfiayQAKewqEvaU6rXCv";"MØ";78;1189627
"0BqURncJM5B1BBu7UM51eq";"Guaynaa";79;190754
"0C0XlULifJtAgn6ZNCW2eu";"The Killers";82;5052932
"0c173mlxpT3dSFRgMO8XPh";"Big Sean";86;6913979
"0C8ZW7ezQVs4URX5aX7Kqx";"Selena Gomez";92;18585907
"0cGUm45nv7Z6M6qdXYQGTX";"Kehlani";85;3067543
"0du5cEVh5yTK9QJze8zA0C";"Bruno Mars";91;23309921
"0Dvx6p8JDyzeOPGmaCIH1L";"RAF Camora";85;1039605
"0eecdvMrqBftK0M1VKhaF4";"CNCO";81;6142465
"0EeQBlQJFiAfJeVN2vT9s0";"Nipsey Hussle";79;1231019
"0EFisYRi20PTADoJrifHrz";"Jhay Cortez";84;485101
"0EmeFodog0BfCgMzAIvKQp";"Shakira";86;17844798
"0ErzCpIMyLcjPiwT4elrtZ";"NLE Choppa";86;692061
"0g9vAlRPK9Gt3FKCekk4TW";"Ab-Soul";67;623348
"0gadJ2b9A4SKsB1RFkBb66";"Passenger";77;2418264
"0ghlgldX5Dd6720Q3qFyQB";"TOMORROW X TOGETHER";74;987989
"0GM7qgcRCORpGnfcN2tCiB";"Tainy";86;45231
"0H39MdGGX6dbnnQPt6NQkZ";"SAINt JHN";80;211845
"0haZhu4fFKt0Ag94kZDiz2";"Sofia Reyes";77;1243029
"0hCNtLu0JehylgoiP8L4Gh";"Nicki Minaj";94;16733747
"0hEurMDQu99nJRq8pTxO14";"John Mayer";86;4285773
"0hItVPjwJLVZrFqOyIsxPf";"Judy Garland";71;120961
"0HkcYmcjrBR3SCw9Ld5VZk";"Calboy";74;315797
"0HU0U9kdXEHZVxUNbuQe8S";"Donny Hathaway";74;295847
"0huGjMyP507tBCARyzSkrv";"YBN Cordae";78;853470
"0iEtIxbK0KxaSlF7G42ZOp";"Metro Boomin";84;1620536
"0JBdTCGs111JKKYfLqOEBa";"Shirin David";70;325912
"0jNDKefhfSbLR9sFvcPLHo";"San Holo";69;526927
"0jnsk9HBra6NMjO2oANoPY";"Flo Rida";82;7395461
"0JOxt5QOwq0czoJxvSc5hS";"GASHI";72;113576
"0Jsk5iYMr5aNjHury7blm1";"Boef";73;770556
"0KPX4Ucy9dk82uj4GpKesn";"Dalex";93;797310
"0lHB0Qc4pmD5RkTLlHeESo";"MC L da Vinte";61;215945
"0LyOADBjj28cbvJWTXUEGA";"Loren Allred";68;64994
"0lzV2CiahHRiGd6qpADtPS";"James Hersey";62;44663
"0MHgLfmQdutffmvWe5XBTN";"Burl Ives";79;35588
"0NGAZxHanS9e0iNHpR8f2W";"Alok";83;6823180
"0NyzfcGDZZ6GM25EBG9BYK";"Ray Parker, Jr.";59;34726
"0ONHkAv9pCAFxb0zJwDNTy";"Pusha T";77;1519389
"0OROVBEZCocg0FcgJpyBse";"Alex Sensation";64;94189
"0p4nmQO2msCgU4IF37Wi3j";"Avril Lavigne";80;5368157
"0PFtn5NtBbbUNbU9EAmIWF";"TOTO";77;1297756
"0q4NrXqJnc367PieejuROJ";"Vice";57;16195
"0QHgL1lAIqAw0HtD7YldmP";"DJ Khaled";82;4365536
