"id";"danceability";"energy";"loudness";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"duration";"time_signature"
"000xQL6tZNLJzIrtIgxqSl";"0.748";0.627;-6.029;0.064;0.131;0.0;0.085;0.524;120.963;188491;4.0
"003eoIwxETJujVWmNFMoZy";"0.353";0.755;-6.276;0.733;0.082;0.0;0.39;0.437;191.153;193680;4.0
"00B7TZ0Xawar6NZ00JFomN";"0.62";0.625;-7.438;0.553;0.287;0.0;0.314;0.665;167.911;284856;4.0
"00EPIEnX1JFjff8sC6bccd";"0.836";0.799;-4.247;0.087;0.187;0.0;0.092;0.772;94.033;217653;4.0
"00gpGR84M27moP7AFuqHIx";"0.857";0.56;-8.278;0.173;0.043;0.0;0.153;0.482;94.949;91011;4.0
"00ko9WaS4jOX1kEk3gvHjf";"0.897";0.522;-7.578;0.374;0.002;0.0;0.055;0.623;149.986;225924;4.0
"00lNx0OcTJrS3MKHcB80HY";"0.876";0.669;-6.054;0.138;0.163;0.0;0.185;0.682;124.007;213947;4.0
"01dmH2IPkrLNWIMPNXlreE";"0.519";0.828;-5.523;0.365;0.214;0.0;0.057;0.929;139.413;211224;4.0
"01DOm09B2AbiTARAbXVI6g";"0.958";0.6;-6.996;0.118;0.039;0.0;0.274;0.607;127.933;181153;4.0
"01k24g94i1JvkFLQmVEdCd";"0.647";0.853;-4.516;0.09;0.062;0.0;0.062;0.618;103.846;189000;4.0
"01Qb6dN5suQNu87VJ1mIpf";"0.699";0.575;-9.922;0.159;0.218;0.0;0.112;0.234;148.767;116240;4.0
"01TnVDiet1DFTsyWKUKovl";"0.414";0.416;-8.024;0.025;0.1;0.179;0.131;0.196;159.91;186268;4.0
"01uk7IzZyFNfQTDBXxx6NB";"0.672";0.53;-6.43;0.028;0.367;0.0;0.321;0.485;103.326;192922;3.0
"01vR5Z7AHinp9D2wu2BNQS";"0.791";0.663;-5.655;0.153;0.235;0.0;0.117;0.314;77.494;174600;4.0
"01vv2AjxgP4uUyb8waYO5Y";"0.734";0.607;-7.249;0.081;0.075;0.001;0.097;0.518;90.023;258853;4.0
"01z2fBGB8Hl3Jd3zXe4IXR";"0.272";0.238;-12.148;0.035;0.89;0.009;0.275;0.119;83.507;161840;4.0
"020wG4EHTwBy5h2rbpxqvK";"0.656";0.661;-5.888;0.06;0.069;0.0;0.125;0.509;140.956;223045;4.0
"0247StOpd3AkeBQzANX4Zf";"0.599";0.642;-6.936;0.036;0.164;0.0;0.099;0.349;115.412;222533;4.0
"02FaKXXL7KUtRc7K0k54tL";"0.774";0.608;-6.264;0.128;0.128;0.0;0.09;0.56;137.494;182521;4.0
"02hNDxtMMTpq72rdp1lm6v";"0.789";0.501;-7.167;0.461;0.124;0.0;0.169;0.225;75.031;255560;4.0
"02itaCXOdC54J0ISjqqFAp";"0.733";0.859;-5.03;0.033;0.479;0.065;0.105;0.52;124.948;147840;4.0
"02LZ1fGJE8fB56yTlCVMEV";"0.914";0.624;-6.112;0.053;0.003;0.004;0.395;0.346;109.977;189600;4.0
"02WacdrRpm4zlP8H7X6bnQ";"0.608";0.174;-8.796;0.033;0.851;0.0;0.086;0.193;112.175;260004;4.0
"03eJ2DclFWXYU8GWgANdmZ";"0.799";0.526;-5.153;0.072;0.334;0.002;0.057;0.746;129.875;150475;4.0
"03hqMhmCZiNKMSPmVabPLP";"0.359";0.6;-7.317;0.04;0.113;0.0;0.095;0.195;175.894;264038;4.0
"03iCbZaM4OkRR4We6wIzvx";"0.709";0.857;-3.394;0.088;0.002;0.0;0.103;0.446;126.038;260234;4.0
"03mMSLEJCPoGJwQhHpN5y0";"0.653";0.869;-3.725;0.038;0.128;0.0;0.046;0.697;122.017;197347;4.0
"03T4ttRCiLXST6MZjeMwmR";"0.503";0.808;-5.051;0.045;0.025;0.002;0.557;0.283;107.975;197533;4.0
"03vyB3AHCuEGfhh7wPc7Yf";"0.49";0.473;-8.887;0.129;0.792;0.0;0.113;0.603;171.535;169587;4.0
"03x2rVJRFUrvwlfxoHd9Mo";"0.567";0.696;-5.416;0.301;0.456;0.0;0.113;0.544;92.061;174983;4.0
"042x9bsUBWW2fJgJ6fUh61";"0.713";0.733;-6.431;0.152;0.093;0.0;0.237;0.502;108.992;196307;4.0
"044qU7kwVZaDwzWnRsmVVL";"0.752";0.543;-9.483;0.04;0.623;0.071;0.107;0.282;126.001;233280;4.0
"04cd1MHVq1D8v1nuTZoCdv";"0.823";0.731;-3.399;0.103;0.175;0.0;0.131;0.952;152.024;186316;4.0
"04CttTezSnv71USiiG9mIo";"0.595";0.662;-6.858;0.036;0.018;0.0;0.08;0.417;96.053;218447;4.0
"04DwTuZ2VBdJCCC5TROn7L";"0.49";0.485;-6.237;0.041;0.059;0.0;0.337;0.196;133.889;195840;4.0
"04MLEeAMuV9IlHEsD8vF6A";"0.765";0.704;-4.589;0.127;0.022;0.0;0.227;0.498;147.055;192172;4.0
"04ZTP5KsCypmtCmQg5tH9R";"0.63";0.694;-6.257;0.025;0.003;0.0;0.072;0.216;97.005;195519;4.0
"059bcIhyc2SBwm6sw2AZzd";"0.877";0.777;-4.246;0.117;0.045;0.0;0.086;0.706;102.02;231848;4.0
"05bnEv2dpFzmGVLGdjD9UP";"0.57";0.028;-22.282;0.059;0.859;0.089;0.254;0.28;84.902;163840;4.0
"05CgKydlFJALNy4JTHeMgs";"0.744";0.821;-3.009;0.161;0.011;0.0;0.259;0.762;145.982;252960;4.0
"05CwHjIk71RXVU40boRMnR";"0.591";0.702;-5.59;0.029;0.225;0.0;0.414;0.501;104.003;217653;4.0
"05KOgYg8PGeJyyWBPi5ja8";"0.736";0.491;-6.892;0.439;0.068;0.0;0.571;0.203;141.979;218674;4.0
"05mAIVLkIWc2d1UBYZBCp8";"0.739";0.742;-4.586;0.033;0.023;0.0;0.229;0.659;124.016;189000;4.0
"05mDaV9Vb3wrzjF6OPZnhq";"0.617";0.684;-3.618;0.044;0.055;0.0;0.104;0.295;132.113;150867;4.0
"05r1GGg1Rhs0RcUg27C82a";"0.624";0.568;-5.664;0.143;0.03;0.0;0.25;0.115;149.857;242050;4.0
"05rJdH2MRLJ3sQoEUO78qs";"0.695";0.775;-5.041;0.089;0.012;0.191;0.07;0.869;180.054;141317;4.0
"05t7JMip6JrLuSrMV5yYjX";"0.556";0.481;-7.663;0.313;0.282;0.0;0.216;0.581;149.025;120137;4.0
"05WepN8vrMLJG5r8XRdLeL";"0.862";0.685;-7.699;0.242;0.034;0.0;0.204;0.672;100.024;172800;4.0
"05X6aMCQR09E6smUmw9qms";"0.296";0.421;-8.891;0.029;0.214;0.0;0.232;0.335;83.425;261627;5.0
"05Z7jet4VDNVgNQWcYHnrk";"0.762";0.576;-4.951;0.083;0.056;0.0;0.087;0.316;142.096;220813;4.0
"05ZXXyeZFhZtA6DAP3Aw7x";"0.751";0.839;-3.367;0.054;0.11;0.0;0.087;0.639;95.019;234366;4.0
"06FCvd7rrRcF3DdvWH5Isp";"0.678";0.562;-9.197;0.508;0.193;0.0;0.104;0.566;94.241;307880;4.0
"06GcodDliPWAYFX2LSFLIu";"0.487";0.458;-7.761;0.037;0.552;0.026;0.117;0.207;115.989;270413;4.0
"06Gyf2pFDVmN5K8XAawG96";"0.8";0.523;-6.578;0.107;0.001;0.0;0.352;0.379;147.057;144142;4.0
"073ILU1C3APNRGF66VhtyA";"0.74";0.498;-6.684;0.046;0.017;0.003;0.319;0.652;98.016;207039;4.0
"07FkzikE6FuHIa8Ma7zJGc";"0.513";0.661;-6.419;0.24;0.161;0.0;0.246;0.179;94.791;209213;4.0
"07Oz5StQ7GRoygNLaXs2pd";"0.668";0.892;-3.001;0.065;0.298;0.0;0.735;0.478;95.927;159011;4.0
"07rmSXN6vNoquX1AsWd9pP";"0.843";0.391;-7.899;0.085;0.181;0.0;0.137;0.496;129.972;160615;4.0
"07s9NNOT0sZQp7TyolLLgu";"0.817";0.781;-4.178;0.112;0.008;0.0;0.123;0.359;104.0;216707;4.0
"083Qf6hn6sFL6xiOHlZUyn";"0.623";0.851;-3.111;0.041;0.023;0.0;0.12;0.4;100.063;193924;4.0
"08aYFNUTIOMGq93e2VSArQ";"0.77";0.75;-2.715;0.079;0.19;0.0;0.062;0.609;99.997;225600;4.0
"08bNPGLD8AhKpnnERrAc6G";"0.626";0.88;-2.384;0.05;0.205;0.0;0.128;0.534;95.079;202621;4.0
"08hm0V6cTsWDX62hW42sEv";"0.548";0.58;-7.524;0.121;0.104;0.0;0.127;0.462;180.066;193893;4.0
"08WPvDEsHvTFuB9w8tC2OS";"0.781";0.57;-5.874;0.188;0.273;0.0;0.196;0.858;107.059;193181;4.0
"093RgZ7RXHZwIrxZhZYX4Q";"0.854";0.626;-5.14;0.062;0.316;0.0;0.096;0.377;140.05;185147;4.0
"09FfQO3PqHO4HIJL511Ksi";"0.65";0.639;-5.962;0.458;0.094;0.0;0.135;0.563;139.226;150802;4.0
"09IOPhEh1OMe0HD9b36FJk";"0.569";0.777;-4.041;0.083;0.139;0.0;0.132;0.181;164.027;246987;4.0
"09IStsImFySgyp0pIQdqAc";"0.753";0.657;-3.061;0.045;0.171;0.0;0.112;0.437;107.01;184732;4.0
"09KlDlkOYuC5x6hOaM7vaP";"0.738";0.525;-6.298;0.037;0.003;0.0;0.351;0.13;124.008;189440;4.0
"09nSCeCs6eYfAIJVfye1CE";"0.683";0.51;-7.894;0.065;0.447;0.0;0.175;0.255;95.08;173021;4.0
"09oZ9eXQ2fo6YDrPzJqAoP";"0.729";0.545;-7.818;0.032;0.017;0.0;0.369;0.514;103.012;177067;4.0
"09ts3GnICqYEU5PkQCpJK3";"0.707";0.632;-7.031;0.079;0.103;0.0;0.084;0.372;97.04;278893;4.0
"0A5gdlrpAuQqZ2iFgnqBFW";"0.813";0.761;-5.687;0.085;0.053;0.012;0.337;0.29;124.957;173067;4.0
"0AcHbiMs86CCgprvc7E1gs";"0.776";0.732;-3.719;0.081;0.175;0.0;0.364;0.383;144.076;153351;4.0
"0AcicReEGm1qcENjqzh1Tg";"0.544";0.524;-7.914;0.062;0.136;0.0;0.106;0.117;81.982;129429;4.0
"0ADG9OgdVTL7fgREP75BrZ";"0.576";0.782;-4.825;0.03;0.008;0.0;0.285;0.355;141.153;224031;4.0
"0afhq8XCExXpqazXczTSve";"0.624";0.876;-3.374;0.1;0.074;0.0;0.327;0.781;99.943;170827;4.0
"0AluA5RNsa4Cx6XRhf2hWZ";"0.81";0.353;-9.931;0.31;0.588;0.0;0.102;0.073;88.031;208293;4.0
"0as7lPxkBPctZ7uVmchRNM";"0.753";0.646;-4.564;0.097;0.231;0.001;0.096;0.438;100.0;186231;4.0
"0At2qAoaVjIwWNAqrscXli";"0.561";0.779;-5.107;0.053;0.086;0.0;0.078;0.235;81.965;256064;4.0
"0ATmjiSoHDCHeeQ9FcvZOW";"0.8";0.956;-4.432;0.178;0.113;0.0;0.107;0.65;90.025;252133;4.0
"0AtP8EkGPn6SwxKDaUuXec";"0.852";0.666;-6.923;0.184;0.135;0.0;0.798;0.726;91.046;207760;4.0
"0azC730Exh71aQlOt9Zj3y";"0.63";0.928;-2.787;0.033;0.199;0.124;0.148;0.465;123.963;222160;4.0
"0B3FovCVaGKS5w1FTidEUP";"0.603";0.602;-7.083;0.23;0.049;0.0;0.279;0.595;119.703;248472;5.0
"0B48113ZG9UfkWWt7qD9xX";"0.551";0.869;-5.043;0.061;0.001;0.0;0.164;0.297;121.91;248782;4.0
"0b6UoVjUzFyZNpHI0aAhKt";"0.362";0.714;-3.07;0.084;0.269;0.0;0.21;0.309;67.4;206499;4.0
"0B8B8cVRFIG1yznoQe7c9s";"0.627";0.717;-5.751;0.038;0.017;0.0;0.261;0.561;105.05;247427;4.0
"0b93tWwuoAC0nXe1CfR30I";"0.581";0.767;-5.026;0.053;0.243;0.001;0.141;0.673;120.07;354640;4.0
"0b9oOr2ZgvyQu88wzixux9";"0.854";0.463;-6.159;0.137;0.117;0.0;0.354;0.549;120.024;225773;4.0
"0bAkKNCQfWkexHFn7fIKns";"0.735";0.482;-9.445;0.139;0.006;0.014;0.448;0.315;181.995;217933;4.0
"0bcEHhsuLRDm712CQHomdm";"0.368";0.796;-4.923;0.082;0.016;0.0;0.069;0.181;170.033;214427;4.0
"0bhnUFDQFCEHCBlsQfHnj5";"0.825";0.487;-6.416;0.233;0.03;0.0;0.087;0.372;105.05;218954;3.0
"0BnTBAGmr9FtYwkZrwKhwS";"0.639";0.859;-2.758;0.147;0.135;0.0;0.129;0.566;93.132;221379;4.0
"0bYg9bo50gSsH3LtXe2SQn";"0.335";0.625;-7.462;0.039;0.164;0.0;0.071;0.346;150.277;241107;4.0
"0bzbvANY6oETSJLc0wlVGY";"0.359";0.543;-7.582;0.092;0.492;0.0;0.118;0.453;68.534;221307;4.0
"0c7K73roy6RW4ebDkf4yGh";"0.745";0.718;-4.853;0.183;0.197;0.0;0.134;0.539;151.097;179133;4.0
"0CBFOvHlyqy30Q5tbyNHfQ";"0.572";0.691;-4.783;0.123;0.079;0.0;0.059;0.318;92.082;212040;4.0
"0CBQ0m3mufWH75LTYB3s6h";"0.902";0.819;-3.321;0.317;0.041;0.0;0.106;0.746;89.0;186872;4.0
"0CcQNd8CINkwQfe1RDtGV6";"0.779";0.787;-4.305;0.108;0.052;0.0;0.14;0.708;124.982;204347;4.0
"0cDwUAF7yQrOLRcFfJpSc2";"0.634";0.653;-7.515;0.032;0.0;0.001;0.115;0.26;90.012;210935;4.0
"0CfmNX2TXk7yoJqHJiixnp";"0.791";0.504;-7.864;0.266;0.018;0.0;0.096;0.355;159.949;230953;4.0
"0chdEzeIcgfNYbWJBpgvzR";"0.612";0.904;-6.076;0.429;0.182;0.0;0.17;0.555;75.801;274627;4.0
"0Clb9aiXWa0dvVff5aN4VN";"0.775";0.597;-5.666;0.159;0.36;0.0;0.156;0.537;122.069;184909;4.0
"0cLS7FslBJgsuWwJNRnPWB";"0.621";0.692;-5.837;0.044;0.336;0.0;0.088;0.446;144.968;201997;4.0
"0CokSRCu5hZgPxcZBaEzVE";"0.731";0.794;-5.126;0.052;0.032;0.0;0.112;0.356;139.994;220454;4.0
"0cqRj7pUJDkTCEsJkx8snD";"0.647";0.8;-5.384;0.165;0.065;0.0;0.334;0.942;160.078;219200;4.0
"0ct6r3EGTcMLPtrXHDvVjc";"0.527";0.835;-5.298;0.043;0.017;0.0;0.249;0.654;125.983;176658;4.0
"0CZ8lquoTX2Dkg7Ak2inwA";"0.6";0.535;-7.043;0.107;0.648;0.0;0.162;0.269;71.912;225133;4.0
"0d0d2CuQSQDF7Q7vNhwA3i";"0.749";0.66;-6.143;0.241;0.558;0.0;0.133;0.542;123.96;263647;4.0
"0d2iYfpKoM0QCKvcLCkBao";"0.56";0.68;-7.648;0.321;0.555;0.0;0.116;0.319;89.391;173800;4.0
"0D5CXSUx8GOCHSY8KWgi9h";"0.619";0.798;-5.517;0.381;0.168;0.0;0.17;0.71;156.151;173693;4.0
"0D8ZpOXVjapLXrjz5VfZSD";"0.381";0.379;-9.36;0.05;0.292;0.0;0.086;0.153;175.067;221596;3.0
"0dA2Mk56wEzDgegdC6R17g";"0.679";0.634;-5.024;0.065;0.232;0.0;0.115;0.498;102.013;210091;4.0
"0dbTQYW3Ad1FTzIA9t90E8";"0.855";0.694;-4.393;0.169;0.371;0.0;0.109;0.49;122.078;324189;4.0
"0dDboLfmRNsTBscy4j3Rnl";"0.826";0.816;-4.608;0.068;0.02;0.001;0.127;0.598;96.042;188480;4.0
"0DiDStADDVh3SvAsoJAFMk";"0.795";0.496;-5.883;0.072;0.108;0.0;0.065;0.874;94.01;183000;4.0
"0dIoGTQXDh1wVnhIiSyYEa";"0.908";0.524;-7.955;0.181;0.001;0.001;0.383;0.109;138.015;224285;4.0
"0dj1CtyRxZ4bnIT4Q20jNT";"0.643";0.52;-5.968;0.033;0.01;0.0;0.11;0.23;75.168;215720;4.0
