"id";"week_of";"chart_position";"track_name";"artist";"num_of_streams"
"7qiZfU4dY1lWllzX7mPBI3";"0";1;"Shape of You";"Ed Sheeran";64275251
"0afhq8XCExXpqazXczTSve";"0";2;"Galway Girl";"Ed Sheeran";31104147
"3eR23VReFzcdmS7TYCrhCe";"0";3;"It Ain't Me (with Selena Gomez)";"Kygo";30924578
"6PCUP3dWmTjcTtXY02oFdT";"0";4;"Castle on the Hill";"Ed Sheeran";30879091
"6RUKPb4LETWmmr3iAEQktW";"0";5;"Something Just Like This";"The Chainsmokers";30048981
"3NdDpSvN911VPGivFlV5d0";"0";6;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";"ZAYN";25353217
"0tgVpDi06FyKpA1z0VMD4v";"0";7;"Perfect";"Ed Sheeran";24795623
"4aWmUDTfIPGksMNLV2rQP2";"0";8;"Despacito (Featuring Daddy Yankee)";"Luis Fonsi";24300989
"72jbDTw1piOOj770jWNeaG";"0";9;"Paris";"The Chainsmokers";23994427
"2RttW7RAu5nOAfq6YFvApB";"0";10;"Happier";"Ed Sheeran";23574465
"51ChrwmUPDJvedPQnIU8Ls";"0";11;"Dive";"Ed Sheeran";22553712
"5HDPtsnyb3maFmPL8LLUTG";"0";12;"New Man";"Ed Sheeran";21770023
"3ebXMykcMXOcLeJ9xZ17XH";"0";13;"Scared to Be Lonely";"Martin Garrix";20612697
"2pJZ1v8HezrAoZ0Fhzby92";"0";14;"What Do I Know?";"Ed Sheeran";20447566
"6520aj0B4FSKGVuKNsOCOi";"0";15;"Chained To The Rhythm";"Katy Perry";19922525
"0KKkJNfGyhkQ5aFogxQAPU";"0";16;"That's What I Like";"Bruno Mars";19566959
"6PJ8FF6UR8FZXfEvpHkIVN";"0";17;"How Would You Feel (Paean)";"Ed Sheeran";18961530
"1sXUWdKx03aP9Gmzft58rt";"0";18;"Issues";"Julia Michaels";18552616
"0dA2Mk56wEzDgegdC6R17g";"0";19;"Stay (with Alessia Cara)";"Zedd";18104813
"7oolFzHipTMg2nL7shhdz2";"0";20;"Eraser";"Ed Sheeran";17804253
"4VuS959DSpr82t3qBqCrWG";"0";21;"Supermarket Flowers";"Ed Sheeran";17530459
"3Lfiu5sZ4M4B6JaKMBc0FU";"0";22;"Barcelona";"Ed Sheeran";17244400
"2dfHh7ECGxfNqZTQno09Vk";"0";23;"Hearts Don't Break Around Here";"Ed Sheeran";16884912
"5knuzwU65gJK7IF5yJsuaW";"0";24;"Rockabye (feat. Sean Paul & Anne-Marie)";"Clean Bandit";16514834
"7tr2za8SQg2CI8EDgrdtNl";"0";25;"Slide (feat. Frank Ocean & Migos)";"Calvin Harris";16043653
"35QZaWQRkmnAVqBF1TLCxQ";"0";26;"Nancy Mulligan";"Ed Sheeran";15959194
"0gbBzIqrECJOEPvQJIBFs5";"0";27;"Green Light";"Lorde";15831659
"5GXAXm5YOmYT0kL5jHvYBt";"0";28;"I Feel It Coming";"The Weeknd";15511687
"5uCax9HTNlzGybIStD3vDh";"0";29;"Say You Won't Let Go";"James Arthur";15317193
"5NNlUMcOEOdoOIwwaWXv0k";"0";30;"Cold";"Maroon 5";15251550
"0CcQNd8CINkwQfe1RDtGV6";"0";31;"Believer";"Imagine Dragons";14809718
"6SznMYPQJHzr3IwsAHLId2";"0";32;"Bibia Be Ye Ye";"Ed Sheeran";14593615
"7BKLCZ1jbUBVqRi2FVlTVw";"0";33;"Closer";"The Chainsmokers";14259540
"78rIJddV4X0HkNAInEcYde";"0";34;"Call On Me - Ryan Riback Extended Remix";"Starley";14094685
"2EEeOnHehOozLq4aS0n6SL";"0";35;"iSpy (feat. Lil Yachty)";"KYLE";13773368
"5aAx2yezTd8zXrkmtKl66Z";"0";36;"Starboy";"The Weeknd";13675604
"6TIU9Ehmi6dMzZK73Ym4yj";"0";37;"Save Myself";"Ed Sheeran";13630733
"4Km5HrUvYTaSUfiSGPJeQR";"0";38;"Bad and Boujee (feat. Lil Uzi Vert)";"Migos";12838492
"0fg8CqpjdojMyXLNzM2PaJ";"0";39;"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)";"Major Lazer";12785418
"5hYTyyh2odQKphUbMqc5gN";"0";40;"How Far I'll Go - From ""Moana""";"Alessia Cara";12466428
"6mICuAdrwEjh6Y6lroV2Kg";"0";41;"Chantaje (feat. Maluma)";"Shakira";11958758
"3rOSwuTsUlJp0Pu0MkN8r8";"0";42;"Mask Off";"Future";11520517
"6HUnnBwYZqcED1eQztxMBN";"0";43;"Solo Dance";"Martin Jensen";11302994
"3E2Zh20GDCR9B1EYjfXWyv";"0";44;"Weak";"AJR";10795072
"3EmmCZoqpWOTY1g2GBwJoR";"0";45;"Just Hold On";"Steve Aoki";10777435
"1CnPYaKxTVb4LWOtiGOm0m";"0";46;"All Time Low";"Jon Bellion";10604519
"1yNyoWWWikbLhwIGWjZuDW";"0";47;"All Night";"The Vamps";10572904
"3umS4y3uQDkqekNjVpiRUs";"0";48;"El Amante";"Nicky Jam";10565160
"0SGkqnVQo9KPytSri1H6cF";"0";49;"Bounce Back";"Big Sean";10370374
"3a1lNhkSLSkpJE4MSHpDu9";"0";50;"Congratulations";"Post Malone";9985597
"4pdPtRcBmOSQDlJ3Fk945m";"0";51;"Let Me Love You";"DJ Snake";9956379
"1PSBzsahR2AKwLJgx8ehBj";"0";52;"Bad Things (with Camila Cabello)";"Machine Gun Kelly";9928709
"343YBumqHu19cGoGARUTsd";"0";53;"Fake Love";"Drake";9486977
"00lNx0OcTJrS3MKHcB80HY";"0";54;"You Don't Know Me - Radio Edit";"Jax Jones";9329182
"6b8Be6ljOzmkOmFslEb23P";"0";55;"24K Magic";"Bruno Mars";9320564
"4Q3N4Ct4zCuIHuZ65E3BD4";"0";56;"Tunnel Vision";"Kodak Black";9029513
"5MFzQMkrl1FOOng9tq6R9r";"0";57;"Don't Wanna Know";"Maroon 5";9020955
"7nKBxz47S9SD79N086fuhn";"0";58;"SUBEME LA RADIO";"Enrique Iglesias";8627793
"3AEZUABDXNtecAOSC1qTfo";"0";59;"Reggaetón Lento (Bailemos)";"CNCO";8514642
"1xznGGDReH1oQq0xzbwXa3";"0";60;"One Dance";"Drake";8432858
"0Zx8khUcEfCFK2AEoIhC92";"0";61;"Don't Leave";"Snakehips";8014940
"1cG0umU5TKStygKsPFZ9pY";"0";62;"Shed a Light";"Robin Schulz";7931183
"7KOlJ92bu51cltsD9KU5I7";"0";63;"T-Shirt";"Migos";7315301
"0FuTx2s3YH1ppmtiM6l0zI";"0";64;"September Song";"JP Cooper";7187538
"1a5Yu5L18qNxVhXx38njON";"0";65;"Hear Me Now";"Alok";7140346
"2Ce5IyMlVRVvN997ZJjJJA";"0";66;"Selfish (feat. Rihanna)";"Future";7127459
"04DwTuZ2VBdJCCC5TROn7L";"0";67;"In the Name of Love";"Martin Garrix";7066624
"1qOLh0tI7trd1zdDKxYZTe";"0";68;"Starving";"Hailee Steinfeld";6851648
"6DNtNfH8hXkqOX1sjqmI7p";"0";69;"Cold Water (feat. Justin Bieber & MØ)";"Major Lazer";6838747
"1FUViuNSldssMIawrOXF2i";"0";70;"I Got You";"Bebe Rexha";6833044
"3QwBODjSEzelZyVjxPOHdq";"0";71;"Otra vez (feat. J Balvin)";"Zion & Lennox";6811231
"2aksifNn5ph8igDOkPBA02";"0";72;"Love On The Brain";"Rihanna";6744018
"4pLwZjInHj3SimIyN9SnOz";"0";73;"Side To Side";"Ariana Grande";6628330
"4vb4mFvYsr2h6enhjJsq9Y";"0";74;"Water Under the Bridge";"Adele";6484036
"6fxVffaTuwjgEk5h9QyRjy";"0";75;"Photograph";"Ed Sheeran";6478067
"0hNduWmlWmEmuwEFcYvRu1";"0";76;"Sunset Lover";"Petit Biscuit";6427841
"7mldq42yDuxiUNn08nvzHO";"0";77;"Body Like A Back Road";"Sam Hunt";6341128
"6fujklziTHa8uoM5OQSfIo";"0";78;"Black Beatles";"Rae Sremmurd";6111651
"6mapJIPnQ23RTAevUoE0DL";"0";79;"Swang";"Rae Sremmurd";6066553
"43jBqV3j3Xi1g6wO0bhIMd";"0";80;"Now and Later";"Sage The Gemini";6003554
"6JV2JOEocMgcZxYSZelKcc";"0";81;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";"Justin Timberlake";5986312
"5Ua3GXyHwiSfpNTMjq6m2z";"0";82;"Touch";"Little Mix";5975062
"1Slwb6dOYkBlWal1PGtnNg";"0";83;"Thinking out Loud";"Ed Sheeran";5955662
"6rQSrBHf7HlZjtcMZ4S4bO";"0";84;"Safari";"J Balvin";5922341
"1vvNmPOiUuyCbgWmtc6yfm";"0";85;"My Way";"Calvin Harris";5825714
"6De0lHrwBfPfrhorm9q1Xl";"0";86;"Me Rehúso";"Danny Ocean";5810693
"6cAKeFFYW2aClZSUyvqAEW";"0";87;"It's Gotta Be You";"Isaiah";5703637
"152lZdxL1OR0ZMW6KquMif";"0";88;"Location";"Khalid";5703198
"4TZy1wLyHec06pwgFYDh1a";"0";89;"Mercy";"Shawn Mendes";5595549
"4okba5wu9mMLXx79DXLKi3";"0";90;"La Rompe Corazones";"Daddy Yankee";5591820
"58zsLZPvfflaiIbNWoA22O";"0";91;"Human";"Rag'n'Bone Man";5554283
"0QsvXIfqM0zZoerQfsI9lm";"0";92;"Don't Let Me Down";"The Chainsmokers";5547583
"6i0V12jOa3mr6uu4WYhUBr";"0";93;"Heathens";"Twenty One Pilots";5485208
"4Hf7WnR761jpxPr5D46Bcd";"0";94;"Treat You Better";"Shawn Mendes";5439127
"0WCEaydwN65cvwaW8aqptF";"0";95;"History";"Olivia Holt";5377288
"0JiVRyTJcJnmlwCZ854K4p";"0";96;"Alone";"Alan Walker";5270975
"7DM4BPaS7uofFul3ywMe46";"0";97;"Vente Pa' Ca";"Ricky Martin";5212740
"5GFDrUTLGJix84sNhjCG0g";"0";98;"Caroline";"Aminé";5199309
"4F7A0DXBrmUAkp32uenhZt";"0";99;"Party Monster";"The Weeknd";5134175
"3mRcWCyteY2133a7xVMrYw";"0";100;"Comin Out Strong (feat. The Weeknd)";"Future";5061036
"5q2JbCNi4FcnglgPfxcV65";"0";101;"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]";"Anuel AA";5035852
"0prNGof3XqfTvNDxHonvdK";"0";102;"Scars To Your Beautiful";"Alessia Cara";5034002
"6stYbAJgTszHAHZMPxWWCY";"0";103;"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)";"IAmChino";5028256
"3dQDid3IUNhZy1OehIfYfE";"0";104;"Vacaciones";"Wisin";5019823
"5hEM0JchdVzQ5PwvSfITeX";"0";105;"Me Llamas (feat. Maluma) - Remix";"Piso 21";4985594
"3kxfsdsCpFgN412fpnW85Y";"0";106;"Redbone";"Childish Gambino";4965499
"2rizacJSyD9S1IQUxUxnsK";"0";107;"All We Know";"The Chainsmokers";4908682
"4ARPvK8DHLwt4oX65ZAFMw";"0";108;"Look At Me!";"XXXTENTACION";4880978
"0kN8xEmgMW9mh7UmDYHlJP";"0";109;"Versace on the Floor";"Bruno Mars";4849975
"0n2bvWvMwr0gbjcuTm92eW";"0";110;"Love";"Lana Del Rey";4849805
"2BrzlUj1u1CtvaJDGIKpsP";"0";111;"Make Me (Cry)";"Noah Cyrus";4753148
"0Fv5N0cHBsl4bzCbollCAS";"0";112;"Moves";"Big Sean";4738790
"7yyRTcZmCiyzzJlNzGC9Ol";"0";113;"Broccoli (feat. Lil Yachty)";"DRAM";4738640
"1lntL1cI2UIWlxjL5QiN8g";"0";114;"The Other";"Lauv";4733401
"68EMU2RD1ECNeOeJ5qAXCV";"0";115;"We Don't Talk Anymore";"Charlie Puth";4730846
"4Q4jmPHwu0wrJvqrld0FQ6";"0";116;"I Would Like";"Zara Larsson";4698636
"2dqLk7ezV15LEJEwUmEbXB";"0";117;"Down";"Marian Hill";4645631
"17Fd6Yb7mSbinKG8LoWfFl";"0";118;"I Took A Pill In Ibiza - Seeb Remix";"Mike Posner";4643652
"6t2ubAB4iSYOuIpRAOGd4t";"0";119;"Cake - Challenge Version";"Flo Rida";4546456
"6wV12xIUb8oFY7lBy4KuQe";"0";120;"Sooner Or Later";"Aaron Carter";4545852
"6y2Kaz9QI01XBKJ8mTb7Pf";"0";121;"Skin";"Rag'n'Bone Man";4543504
