,id,week_of,chart_position,track_name,artist,num_of_streams,num_times,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0,000xQL6tZNLJzIrtIgxqSl,36,57,Still Got Time,ZAYN,8368114,15,0.748,0.627,-6.029,0.064,0.131,0.000,0.085,0.524,120.963,188491,4.000
1,003eoIwxETJujVWmNFMoZy,11,155,Growing Pains,Alessia Cara,4358091,2,0.353,0.755,-6.276,0.733,0.082,0.000,0.390,0.437,191.153,193680,4.000
2,00B7TZ0Xawar6NZ00JFomN,87,140,Best Life (feat. Chance The Rapper),Cardi B,4743908,2,0.62,0.625,-7.438,0.553,0.287,0.000,0.314,0.665,167.911,284856,4.000
3,00EPIEnX1JFjff8sC6bccd,8,70,No Me Acuerdo,Thalía,7460620,16,0.836,0.799,-4.247,0.087,0.187,0.000,0.092,0.772,94.033,217653,4.000
4,00gpGR84M27moP7AFuqHIx,111,130,Bounce Out With That FT. YBN Nahmir,DJ A1,4913180,1,0.857,0.560,-8.278,0.173,0.043,0.000,0.153,0.482,94.949,91011,4.000
5,00ko9WaS4jOX1kEk3gvHjf,57,163,Hot Shower,Chance the Rapper,4856566,4,0.897,0.522,-7.578,0.374,0.002,0.000,0.055,0.623,149.986,225924,4.000
6,00lNx0OcTJrS3MKHcB80HY,0,54,You Don't Know Me - Radio Edit,Jax Jones,9329182,30,0.876,0.669,-6.054,0.138,0.163,0.000,0.185,0.682,124.007,213947,4.000
7,01dmH2IPkrLNWIMPNXlreE,49,114,Paradise,BTS,5560683,1,0.519,0.828,-5.523,0.365,0.214,0.000,0.057,0.929,139.413,211224,4.000
8,01DOm09B2AbiTARAbXVI6g,3,105,CHopstix (with Travis Scott),ScHoolboy Q,6728297,2,0.958,0.600,-6.996,0.118,0.039,0.000,0.274,0.607,127.933,181153,4.000
9,01k24g94i1JvkFLQmVEdCd,11,123,If You're Over Me,Years & Years,5063249,5,0.647,0.853,-4.516,0.090,0.062,0.000,0.062,0.618,103.846,189000,4.000
10,01Qb6dN5suQNu87VJ1mIpf,56,136,Did It Again,Lil Tecca,5638357,2,0.699,0.575,-9.922,0.159,0.218,0.000,0.112,0.234,148.767,116240,4.000
11,01TnVDiet1DFTsyWKUKovl,11,50,NUMB,XXXTENTACION,9137156,10,0.414,0.416,-8.024,0.025,0.100,0.179,0.131,0.196,159.910,186268,4.000
12,01uk7IzZyFNfQTDBXxx6NB,12,149,One Last Song,Sam Smith,4233214,2,0.672,0.530,-6.430,0.028,0.367,0.000,0.321,0.485,103.326,192922,3.000
13,01vR5Z7AHinp9D2wu2BNQS,153,165,UP IN SMOKE,RIN,5126611,1,0.791,0.663,-5.655,0.153,0.235,0.000,0.117,0.314,77.494,174600,4.000
